,adm1,scenario,year,ssp,case,inundation,protection,relocation,stormCapital,stormPopulation,wetland,total_cost,total_cost_num
0,FJI.1_1,High,2030,SSP2,noAdaptation,5036366.5,0.0,0.0,1918600.8,106199220.0,0.0,113154187.3,113.15M
1,FJI.1_1,High,2030,SSP2,optimalfixed,2732217.2,31092080.0,3916172.5,37630.49,328770.44,0.0,38106870.63,38.11M
2,FJI.1_1,High,2030,SSP2,protect100,0.0,70439490.0,0.0,37774.66,424844.7,0.0,70902109.36,70.9M
3,FJI.1_1,High,2030,SSP2,retreat100,10675277.0,0.0,22268936.0,36.246296,10477.772,0.0,32954727.018296,32.95M
4,FJI.1_1,High,2050,SSP2,noAdaptation,7497860.5,0.0,0.0,24654340.0,619823400.0,0.0,651975600.5,651.98M
5,FJI.1_1,High,2050,SSP2,optimalfixed,5791705.0,58810920.0,19668634.0,0.0016994044,53.135155,0.0,84271312.13685441,84.27M
6,FJI.1_1,High,2050,SSP2,protect100,0.0,132442940.0,0.0,0.0,0.0,0.0,132442940.0,132.44M
7,FJI.1_1,High,2050,SSP2,retreat100,29504842.0,0.0,133934590.0,0.0,0.0,0.0,163439432.0,163.44M
8,FJI.1_1,High,2070,SSP2,noAdaptation,10973482.0,0.0,0.0,248972000.0,2586973400.0,0.0,2846918882.0,2.85B
9,FJI.1_1,High,2070,SSP2,optimalfixed,12675962.0,110028990.0,56142236.0,0.0,0.0,0.0,178847188.0,178.85M
10,FJI.1_1,High,2070,SSP2,protect100,0.0,247434910.0,0.0,0.0,0.0,0.0,247434910.0,247.43M
11,FJI.1_1,High,2070,SSP2,retreat100,73587790.0,0.0,351642430.0,0.0,0.0,0.0,425230220.0,425.23M
12,FJI.1_1,High,2100,SSP2,noAdaptation,137628930.0,0.0,819026200.0,414026660.0,2341111300.0,0.0,3711793090.0,3.71B
13,FJI.1_1,High,2100,SSP2,optimalfixed,27530728.0,188711170.0,120835180.0,22875024.0,64924420.0,0.0,424876522.0,424.88M
14,FJI.1_1,High,2100,SSP2,protect100,0.0,420517700.0,0.0,22916238.0,76142840.0,0.0,519576778.0,519.58M
